Date,Open,High,Low,Close,Volume
10/8/2024,146.7661,146.8858,141.1781,144.2162,2625697.809
10/9/2024,144.2368,145.2285,138.5565,139.8767,2377697.951
10/10/2024,139.8669,140.6722,135.3565,138.4304,2509013.218
10/11/2024,138.3204,146.4718,137.7075,145.8795,2768129.66
10/12/2024,145.8595,147.2071,144.6477,146.696,1483677.142
10/13/2024,146.696,148.3996,144.4377,147.9274,1681079.699
10/14/2024,147.9549,157.9429,146.7299,155.6452,4600474.911
10/15/2024,155.6423,159.1354,150.3494,153.5416,5218210.89
10/16/2024,153.4616,158.339,152.9263,153.9177,3532957.804
10/17/2024,153.8876,155.6781,147.7311,150.186,3412858.13
10/18/2024,150.156,156.6042,149.5756,154.27,2580641.352
10/19/2024,154.2798,157.8137,153.6759,156.9538,1789254.218
10/20/2024,156.934,163.736,156.8368,163.736,3386307.243
10/21/2024,163.7758,171.5179,161.4749,167.5497,6961559.225
10/22/2024,167.4033,170.8321,162.9383,167.4492,5104746.081
10/23/2024,167.4395,174.0112,164.0253,171.2082,5580243.608
10/24/2024,171.2465,178.4734,170.3691,177.7314,4734945.872
10/25/2024,177.8788,179.1407,164.9482,167.9172,5605931.499
10/26/2024,167.8573,172.9792,159.5651,171.2355,4114339.996
10/27/2024,171.2153,177.9436,170.0467,177.4947,3291765.94
10/28/2024,177.5146,179.4716,172.4387,178.465,5154667.827
10/29/2024,178.3615,183.2558,176.3706,179.6057,5728018.85
10/30/2024,179.5343,181.2247,173.1632,175.2038,3641686.756
10/31/2024,175.2938,176.4271,167.3439,169.2679,3362833.807
11/1/2024,169.2381,173.8881,163.6028,165.7155,4383883.687
11/2/2024,165.6058,168.4792,162.0999,165.9018,1964302.816
11/3/2024,165.9736,166.5451,157.9269,162.8264,3523962.421
11/4/2024,162.805,164.8876,155.0082,157.9566,3213092.267
11/5/2024,157.9366,169.2235,156.8181,167.32,3795938.312
11/6/2024,167.2898,190.1381,166.3651,189.1434,11730537.54
11/7/2024,189.1834,198.0251,186.0258,195.3376,5381384.323
11/8/2024,195.3476,205.1686,194.2726,199.0493,6309111.326
11/9/2024,199.0693,203.5336,195.0585,200.108,3483400.084
11/10/2024,199.9999,215.4416,198.8293,210.6179,10072686.3
11/11/2024,210.758,223.3213,204.309,220.5211,10734005.71
11/12/2024,220.5411,225.3581,204.9824,215.1798,10955699.19
11/13/2024,215.1498,220.8156,201.0391,213.2844,10617932.23
11/14/2024,213.2143,222.8602,209.4119,212.0954,7729765.905
11/15/2024,212.0754,219.6703,204.5534,218.2633,5711033.815
11/16/2024,218.3255,222.0099,213.4834,214.275,4729659.58
11/17/2024,214.305,241.9943,212.19,234.7694,10168950.65
11/18/2024,234.5694,248.4375,233.3693,239.6455,8697095.493
